Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Label
0,431,344,660,0,489,1
0,478,349,669,0,509,1
0,490,333,665,0,515,1
0,471,347,651,0,522,1
0,509,339,652,0,520,1
0,487,277,688,0,539,1
0,551,342,684,0,554,1
0,552,341,668,0,570,1
0,493,355,683,0,579,1
0,543,355,684,0,578,1
0,532,358,677,0,575,1
0,531,359,682,0,566,1
0,536,360,672,0,571,1
0,534,368,679,0,572,1
0,525,368,688,0,578,1
0,490,347,688,0,505,1
0,544,346,685,0,541,1
0,497,331,676,0,548,1
0,487,335,676,0,551,1
0,496,327,680,0,551,1
0,521,323,681,0,555,1
0,521,323,686,0,556,1
0,506,325,689,0,556,1
0,608,116,899,0,827,1
2,621,98,896,0,832,1
0,626,127,897,0,835,1
0,623,115,898,0,833,1
0,624,179,898,0,833,1
3,622,199,898,0,836,1
0,626,195,901,0,836,1
0,620,199,900,0,838,1
0,632,177,903,0,838,1
0,632,182,902,0,838,1
0,650,169,903,0,838,1
0,646,167,902,0,835,1
0,632,183,902,0,837,1
0,779,531,871,0,800,1
0,620,426,743,0,707,1
6,578,420,715,1,715,1
6,640,427,796,8,749,1
0,661,457,884,87,720,1
5,666,458,768,89,720,1
0,779,0,822,314,813,1
0,738,133,751,0,757,1
180,686,287,821,284,742,1
270,690,349,863,350,740,1
92,666,326,779,490,719,1
12,697,329,861,442,707,1
110,695,360,861,319,713,1
119,706,382,753,274,718,1
90,720,406,791,208,718,1
13,797,299,828,0,801,1
0,696,544,773,0,766,1
0,684,558,749,0,764,1
0,667,565,739,0,773,1
0,676,571,724,0,779,1
0,658,577,719,0,778,1
0,652,566,883,0,781,1
0,656,569,825,0,783,1
0,661,570,796,0,776,1
0,680,537,739,136,775,1
0,186,0,833,0,800,1
0,0,0,744,0,817,1
0,214,0,742,0,824,1
0,534,182,738,0,786,1
0,575,235,733,0,768,1
0,583,240,745,0,772,1
0,582,223,895,0,779,1
0,600,226,921,0,785,1
0,595,228,923,0,786,1
0,615,216,921,157,803,1
0,665,283,926,0,772,1
0,674,301,927,0,780,1
0,662,319,927,0,783,1
0,664,325,927,0,782,1
0,664,320,927,0,783,1
0,669,339,927,0,788,1
0,656,340,927,0,787,1
42,620,308,923,0,786,1
38,488,432,812,1,585,1
0,534,450,847,0,662,1
78,542,447,787,0,687,1
38,535,432,783,5,710,1
99,546,380,774,0,735,1
33,543,418,817,0,738,1
57,540,437,844,0,749,1
97,527,416,843,0,755,1
83,532,437,842,0,756,1
60,527,446,817,0,761,1
70,542,436,821,0,765,1
67,511,448,851,0,771,1
116,459,399,859,53,775,1
160,473,416,850,53,769,1
118,257,384,801,0,625,1
243,205,365,842,109,602,1
0,0,0,616,0,711,1
53,506,318,533,78,646,1
0,471,307,646,0,691,1
0,472,366,608,0,699,1
13,516,356,633,81,678,1
8,475,294,656,84,722,1
0,434,281,665,0,726,1
0,568,231,654,160,677,1
30,471,311,657,0,714,1
39,479,309,672,0,720,1
0,531,297,665,149,706,1
0,336,302,609,0,707,1
0,369,280,658,0,730,1
0,370,285,660,0,734,1
0,424,288,666,0,737,1
0,426,284,652,0,705,1
0,423,284,671,0,724,1
0,450,287,669,0,735,1
0,443,285,679,0,748,1
0,448,288,698,0,759,1
0,470,309,678,0,675,1
0,468,304,735,0,656,1
0,469,286,766,0,792,1
0,459,284,688,0,744,1
0,468,287,746,0,735,1
0,465,291,738,0,717,1
0,492,293,684,0,667,1
0,492,292,697,0,670,1
0,475,289,687,0,681,1
0,490,291,685,0,630,1
0,490,290,692,0,585,1
0,527,289,611,0,663,1
0,501,289,574,0,678,1
138,374,226,28,67,588,1
198,516,283,153,0,649,1
57,530,288,151,59,677,1
13,547,314,304,62,662,1
12,554,306,174,68,665,1
154,571,272,382,87,683,1
8,617,320,381,1,683,1
10,630,349,407,0,685,1
10,632,340,271,0,646,1
7,605,330,322,58,629,1
8,591,326,302,80,644,1
7,622,333,456,0,673,1
6,415,341,876,64,56,1
47,610,350,538,82,324,1
42,649,324,517,56,378,1
11,653,367,508,0,466,1
0,648,365,658,0,517,1
0,664,425,634,0,516,1
8,667,414,638,0,535,1
0,658,313,606,0,402,1
0,673,400,585,0,534,1
0,688,379,547,0,370,1
1,706,392,547,0,534,1
9,672,379,532,0,417,1
9,688,349,558,0,471,1
0,693,336,607,0,574,1
0,698,378,596,0,510,1
0,722,393,567,0,576,1
0,719,383,546,0,394,1
28,704,354,578,130,511,1
605,0,0,752,464,597,1
522,0,0,755,422,604,1
648,0,0,750,446,877,1
547,0,0,707,567,848,1
0,0,832,416,270,351,1
0,514,849,449,0,320,1
0,542,851,453,0,357,1
0,531,847,463,0,311,1
0,514,847,478,0,311,1
0,516,853,465,0,326,1
0,373,857,463,0,235,1
1,398,855,446,0,167,1
0,466,856,466,0,294,1
1,432,858,471,0,254,1
2,566,827,496,0,263,1
4,590,826,480,0,267,1
3,568,824,493,0,293,1
3,553,836,488,0,323,1
2,549,833,486,0,327,1
0,566,832,488,0,348,1
0,560,847,475,0,404,1
0,552,850,477,0,368,1
0,503,851,480,0,353,1
2,488,847,477,0,384,1
0,582,849,381,0,390,1
0,483,838,415,0,331,1
0,486,835,412,0,329,1
0,471,835,400,0,373,1
0,35,749,429,80,2,1
0,147,699,0,0,720,1
0,608,780,424,0,690,1
0,668,781,469,0,683,1
0,749,708,549,0,662,1
0,698,778,526,0,680,1
0,661,788,505,0,699,1
0,654,791,484,0,691,1
0,574,759,438,0,639,1
0,587,727,509,0,678,1
0,659,736,537,0,711,1
0,665,720,550,0,713,1
0,657,720,551,0,717,1
0,657,723,559,0,718,1
0,652,700,712,0,718,1
0,0,717,349,0,724,1
0,0,712,611,0,708,1
0,213,129,641,0,754,2
172,519,118,0,92,832,2
0,0,0,750,0,667,2
342,0,192,789,565,740,2
271,0,183,757,496,817,2
175,0,208,764,226,727,2
68,180,277,748,308,717,2
94,138,237,760,312,748,2
221,0,211,755,572,753,2
323,30,228,766,606,757,2
93,55,295,788,480,746,2
269,0,130,821,452,893,2
171,168,283,817,450,776,2
141,82,165,876,352,861,2
294,219,347,812,390,762,2
262,97,352,812,409,780,2
247,5,375,858,380,745,2
127,0,281,809,369,697,2
360,0,258,823,448,636,2
562,0,258,826,386,620,2
0,17,42,667,0,604,2
0,72,1,814,0,757,2
262,373,0,741,430,914,2
356,216,271,755,311,801,2
435,224,388,750,35,774,2
198,223,373,765,413,810,2
348,203,389,815,620,842,2
109,318,376,825,551,827,2
149,335,279,780,528,808,2
47,361,387,775,479,807,2
0,385,383,781,226,807,2
19,337,372,792,468,800,2
43,342,278,780,649,802,2
201,252,287,775,305,803,2
4,317,415,754,0,816,2
3,87,221,825,0,802,2
428,0,111,857,477,832,2
492,0,120,871,617,912,2
480,0,126,863,666,848,2
364,0,217,863,565,859,2
480,179,235,863,214,854,2
39,0,260,866,254,861,2
101,91,232,871,475,859,2
419,0,211,865,497,863,2
103,0,176,885,274,918,2
0,300,246,910,22,939,2
8,420,456,816,268,865,2
31,390,382,853,423,843,2
31,426,443,856,234,850,2
56,380,433,842,348,861,2
129,235,425,851,402,864,2
199,306,412,854,504,868,2
76,334,427,854,345,870,2
194,315,429,857,491,873,2
51,365,448,866,327,838,2
67,259,224,722,206,852,2
77,63,256,725,343,717,2
354,0,182,753,663,745,2
182,501,508,252,424,0,2
206,126,376,252,626,0,2
210,146,449,733,420,0,2
142,102,448,721,493,0,2
115,185,220,789,534,853,2
152,23,324,760,539,830,2
216,91,336,751,545,840,2
241,395,281,795,375,879,2
460,0,327,829,436,799,2
228,0,265,801,383,836,2
490,94,300,825,384,877,2
342,153,373,828,413,888,2
138,141,363,827,78,889,2
86,181,324,830,355,881,2
170,198,404,823,251,883,2
343,148,441,825,202,889,2
234,0,289,791,395,876,2
363,30,315,777,538,833,2
433,0,125,837,517,851,2
414,0,188,815,487,827,2
406,0,294,817,568,839,2
404,0,308,823,469,833,2
392,0,310,824,455,850,2
454,0,320,825,553,848,2
421,0,321,828,391,858,2
266,0,282,826,0,855,2
182,0,349,787,293,857,2
53,92,413,775,163,861,2
65,88,425,780,159,860,2
64,161,425,790,128,862,2
51,0,398,779,99,865,2
27,145,412,727,6,799,2
28,301,421,762,9,849,2
1,133,419,736,9,873,2
156,330,413,787,91,853,2
178,296,342,771,73,865,2
378,145,312,791,246,875,2
249,0,277,844,84,674,2
31,0,235,272,341,820,2
0,19,299,816,236,799,2
230,111,416,749,99,773,2
0,253,441,747,142,759,2
80,227,402,730,121,764,2
75,233,402,744,157,769,2
220,176,400,748,142,769,2
441,161,338,733,219,752,2
234,212,360,739,298,770,2
337,363,425,681,114,791,2
630,0,0,810,279,912,2
611,0,60,806,537,915,2
385,0,242,823,516,886,2
227,6,258,825,450,889,2
107,6,304,823,398,897,2
553,0,3,837,528,900,2
678,0,0,826,682,908,2
756,0,0,871,489,819,2
661,0,0,876,554,873,2
612,0,0,862,615,870,2
644,0,93,871,647,871,2
570,0,97,870,600,870,2
480,4,93,863,585,862,2
453,0,139,869,579,863,2
543,0,0,788,800,854,2
568,0,0,713,848,923,2
604,0,0,716,780,922,2
588,0,0,717,698,878,2
626,0,0,701,686,890,2
716,0,0,701,707,896,2
483,0,0,803,672,881,2
529,0,89,864,648,889,2
374,0,144,859,507,878,2
423,0,114,860,585,884,2
363,0,214,858,543,884,2
418,55,223,860,560,885,2
330,53,337,859,496,877,2
209,48,371,851,473,880,2
381,0,352,853,175,881,2
178,81,406,859,315,875,2
58,0,411,858,293,879,2
155,96,431,867,143,896,2
245,60,420,864,250,897,2
141,103,426,861,232,889,2
469,0,162,866,464,900,2
335,0,284,858,475,892,2
213,1,388,858,468,893,2
151,60,430,857,424,893,2
213,62,420,859,434,894,2
197,62,421,861,444,896,2
172,108,441,864,429,895,2
306,0,169,835,657,880,2
268,7,300,807,37,917,2
216,10,265,798,35,922,2
539,0,0,811,191,929,2
553,0,1,810,178,930,2
535,0,0,804,187,931,2
331,0,1,802,449,930,2
495,0,0,802,129,931,2
406,0,0,798,125,932,2
252,0,157,803,91,931,2
324,0,181,795,66,933,2
268,0,189,797,55,932,2
315,0,171,797,57,932,2
464,0,145,797,100,933,2
506,0,0,786,117,934,2
173,0,211,780,69,934,2
235,0,209,783,77,935,2
301,0,165,789,103,935,2
294,0,203,796,101,936,2
277,0,199,790,108,934,2
265,0,202,782,88,935,2
239,0,206,785,95,936,2
244,0,203,782,245,937,2
760,0,101,787,848,936,2
749,0,36,791,842,936,2
748,0,167,794,842,936,2
746,0,175,792,834,936,2
744,0,124,779,841,937,2
725,0,181,773,852,936,2
729,0,183,776,851,936,2
715,0,207,779,848,935,2
712,0,203,781,847,935,2
708,0,203,789,830,935,2
699,0,204,790,835,935,2
207,0,261,785,0,936,2
126,5,258,790,23,936,2
100,1,270,783,35,936,2
50,10,234,795,48,936,2
174,6,247,792,50,937,2
54,6,288,796,55,937,2
135,25,287,792,57,937,2
136,84,309,792,57,937,2
49,113,312,801,60,937,2
60,6,271,802,59,937,2
156,118,309,798,62,937,2
176,79,283,797,63,937,2
133,107,284,794,60,938,2
129,106,346,794,44,938,2
156,89,270,793,0,938,2
137,81,273,795,9,938,2
138,77,274,798,23,937,2
136,133,277,796,26,938,2
141,117,280,795,19,938,2
155,119,315,797,16,938,2
153,96,313,798,17,938,2
151,140,308,797,17,938,2
155,151,275,796,15,938,2
151,144,280,795,16,938,2
173,62,272,790,14,927,2
157,139,305,794,9,927,2
168,115,309,792,8,928,2
160,160,313,793,6,929,2
170,140,311,794,26,931,2
175,135,309,794,4,931,2
168,161,308,795,4,931,2
171,158,313,796,3,931,2
175,162,275,794,4,932,2
181,20,257,796,4,932,2
2,0,0,826,72,542,2
252,2,0,931,569,793,2
109,4,0,885,96,819,2
106,5,0,875,96,831,2
95,8,0,879,107,835,2
59,9,1,884,6,835,2
57,8,1,882,7,833,2
57,11,2,881,6,836,2
103,9,0,886,17,843,2
97,11,0,887,285,842,2
213,11,0,889,193,847,2
73,14,1,890,77,847,2
149,12,0,893,27,844,2
190,14,1,892,64,839,2
180,15,0,893,66,841,2
171,15,0,893,59,844,2
173,15,0,891,59,846,2
149,16,0,891,55,847,2
204,16,0,889,51,849,2
185,15,0,890,60,849,2
225,15,0,891,35,851,2
191,16,0,891,48,848,2
181,15,0,891,63,852,2
187,15,0,891,69,854,2
179,16,0,893,62,855,2
167,16,0,894,36,854,2
166,17,0,895,71,855,2
163,16,0,896,70,854,2
173,16,0,895,63,855,2
171,39,0,896,65,856,2
171,16,0,896,51,856,2
178,16,0,898,27,857,2
181,19,0,898,29,856,2
190,16,0,899,37,856,2
186,17,0,901,26,856,2
188,17,0,901,27,856,2
189,17,0,901,28,857,2
183,16,0,900,28,856,2
189,42,0,901,28,858,2
187,36,0,901,29,857,2
198,39,0,903,29,858,2
195,35,0,901,31,860,2
198,40,0,901,30,859,2
200,20,0,901,32,859,2
199,17,0,901,32,859,2
194,20,0,901,34,859,2
204,18,0,903,52,859,2
208,18,0,902,59,859,2
207,18,0,902,59,860,2
196,17,0,902,71,860,2
206,19,0,902,74,860,2
205,51,0,903,52,861,2
209,53,0,902,46,861,2
198,58,0,902,62,862,2
133,111,0,903,66,862,2
140,91,0,903,58,862,2
142,58,0,903,65,862,2
157,145,0,903,30,863,2
168,118,0,903,9,862,2
181,128,0,904,49,863,2
184,129,0,904,47,863,2
162,139,0,904,5,864,2
161,123,0,903,5,864,2
160,129,0,903,5,864,2
160,136,0,903,6,864,2
144,120,0,903,6,864,2
146,122,0,902,7,864,2
145,120,0,902,6,864,2
150,98,0,903,7,864,2
142,98,0,903,9,864,2
130,99,0,903,9,864,2
127,102,0,903,11,865,2
0,128,0,951,43,815,2
3,391,0,954,84,826,2
10,476,0,955,91,827,2
5,489,3,957,169,811,2
4,433,1,957,98,831,2
3,37,193,948,0,882,2
122,537,3,957,87,828,2
28,563,3,958,64,835,2
4,664,4,958,138,833,2
1,654,10,958,47,837,2
4,658,11,958,57,838,2
3,668,11,958,85,840,2
7,661,11,958,73,841,2
25,659,13,958,81,841,2
4,661,11,958,37,841,2
5,658,9,958,46,842,2
7,660,12,958,74,842,2
8,641,5,958,120,842,2
0,658,15,960,115,843,2
0,675,11,960,146,844,2
0,529,9,906,0,883,2
747,6,0,928,418,823,2
802,2,0,936,222,810,2
809,0,0,944,217,760,2
823,0,21,944,233,765,2
829,0,19,945,270,764,2
833,0,18,944,266,770,2
831,0,22,945,275,769,2
836,0,21,945,290,765,2
837,0,21,946,274,766,2
829,0,18,945,245,812,2
470,0,0,945,616,796,2
47,475,12,915,40,791,2
71,345,2,933,355,797,2
125,238,31,936,56,827,2
184,140,10,936,136,840,2
168,217,28,936,111,843,2
185,44,27,936,101,846,2
251,13,28,937,98,848,2
224,52,29,937,80,851,2
602,0,0,822,666,720,2
524,0,126,794,491,714,2
517,0,161,822,555,755,2
501,0,133,826,438,755,2
531,0,111,826,439,779,2
456,0,186,791,543,736,2
513,0,195,806,444,732,2
330,0,301,752,333,749,2
499,0,181,662,483,880,2
339,0,95,684,268,920,2
458,0,149,730,475,883,2
539,0,151,719,772,812,2
663,0,96,734,92,828,2
612,0,171,716,401,760,2
556,0,147,687,705,862,2
608,0,0,729,717,920,2
652,0,91,715,531,931,2
453,0,257,681,191,745,2
600,0,240,696,505,746,2
740,0,203,707,732,770,2
240,0,76,737,457,928,2
148,0,107,705,683,933,2
338,0,156,754,602,917,2
310,0,228,743,727,878,2
0,0,0,750,0,816,2
692,0,0,679,733,920,2
47,0,291,689,236,824,2
511,0,0,636,453,933,2
7,0,419,615,239,758,2
183,0,317,581,347,749,2
93,0,416,599,434,748,2
164,0,368,602,190,805,2
350,0,276,636,154,807,2
309,1,263,640,523,855,2
539,0,249,649,268,852,2
115,0,389,944,324,941,2
65,104,352,946,336,939,2
91,200,372,946,377,940,2
54,181,345,947,375,940,2
76,185,349,946,349,940,2
69,133,354,944,353,941,2
33,152,358,933,293,941,2
41,175,364,949,309,941,2
0,283,349,951,293,941,2
45,213,370,952,320,943,2
68,210,339,952,350,943,2
41,0,366,956,327,944,2
84,193,370,956,343,944,2
97,203,372,955,359,945,2
49,210,369,958,308,944,2
37,146,334,958,454,945,2
14,248,331,959,473,944,2
14,284,336,959,459,944,2
72,265,400,958,172,944,2
19,242,439,958,107,944,2
73,203,462,952,367,944,2
104,216,349,951,397,945,2
122,243,355,950,418,944,2
104,252,352,949,421,944,2
98,270,352,947,424,944,2
101,276,350,945,448,945,2
112,265,353,941,443,945,2
109,253,351,936,454,945,2
107,260,340,930,457,945,2
79,278,340,864,417,945,2
116,309,334,817,443,945,2
114,314,352,826,455,946,2
115,310,338,830,433,947,2
117,291,346,835,436,947,2
116,319,354,825,447,946,2
114,317,350,809,456,947,2
121,258,356,789,453,946,2
123,305,352,779,457,947,2
126,295,349,777,473,947,2
129,307,347,775,474,946,2
131,301,351,933,481,947,2
125,256,343,954,477,947,2
78,262,343,955,364,945,2
125,285,352,956,369,946,2
142,300,347,956,393,946,2
140,291,356,956,391,947,2
152,297,345,956,368,947,2
154,301,345,957,378,947,2
140,244,348,957,437,949,2
247,338,342,911,395,926,2
240,396,385,827,447,929,2
203,396,378,940,470,930,2
192,430,382,926,477,930,2
157,422,389,826,467,930,2
203,445,379,949,481,930,2
272,360,338,952,513,930,2
214,438,377,735,527,930,2
238,441,376,744,529,930,2
233,443,376,730,522,930,2
289,270,351,747,580,923,2
121,364,358,735,544,930,2
75,124,415,734,519,932,2
100,241,371,733,610,931,2
204,387,416,731,480,932,2
188,407,414,718,498,933,2
255,398,406,720,516,930,2
187,350,439,707,536,932,2
246,404,405,710,552,933,2
303,399,425,703,542,932,2
205,396,411,701,431,932,2
245,423,439,685,500,933,2
261,422,418,671,506,934,2
299,418,418,671,519,934,2
281,406,423,667,514,934,2
276,427,427,670,531,934,2
278,428,427,681,533,934,2
647,579,266,838,124,939,2
450,404,358,886,414,934,2
507,418,362,944,452,935,2
514,429,363,950,449,935,2
495,437,365,963,391,934,2
673,545,373,969,440,935,2
748,448,333,969,489,935,2
726,504,272,966,500,932,2
511,414,339,766,213,934,2
695,480,336,910,423,934,2
277,628,338,767,193,933,2
494,443,353,751,372,935,2
500,467,355,779,433,936,2
507,518,357,791,448,936,2
532,474,349,787,451,936,2
506,480,352,786,477,936,2
519,487,351,793,461,936,2
502,475,352,788,432,936,2
538,479,360,768,463,937,2
517,464,360,765,452,937,2
475,0,0,894,703,885,2
219,2,0,903,548,897,2
325,0,0,921,578,875,2
435,0,0,931,631,874,2
490,1,1,859,484,896,2
445,2,0,912,477,895,2
269,1,0,919,375,883,2
373,1,1,928,406,886,2
394,1,0,889,449,893,2
439,0,1,884,307,891,2
272,1,1,884,401,897,2
304,1,140,845,223,889,2
301,0,1,815,292,895,2
203,0,0,789,383,893,2
0,0,94,774,219,888,2
384,1,45,894,338,892,2
499,0,48,859,314,893,2
361,1,94,841,380,894,2
412,1,29,878,449,886,2
419,0,44,863,454,894,2
297,1,26,879,449,894,2
286,0,31,893,287,911,2
433,0,1,916,427,895,2
432,1,1,856,486,897,2
0,0,0,678,0,819,2
377,0,175,622,613,829,2
706,0,275,837,679,802,2
140,0,312,760,501,824,2
0,61,0,917,195,780,2
82,0,0,841,292,814,2
237,0,1,861,487,832,2
638,0,155,814,278,838,2
88,0,0,854,587,811,2
0,0,0,667,1,821,2
176,140,97,522,68,613,2
119,0,0,620,83,811,2
402,0,0,868,695,846,2
363,0,0,835,672,868,2
651,0,1,958,641,792,2
608,0,2,964,764,821,2
628,0,2,965,774,823,2
624,0,3,962,771,821,2
469,0,0,949,736,883,2
408,0,1,915,680,920,2
414,1,1,919,692,923,2
473,0,1,921,662,926,2
494,0,2,921,694,926,2
407,0,2,914,715,918,2
259,0,1,897,551,927,2
168,0,25,896,647,930,2
468,0,2,896,614,929,2
391,0,2,900,339,926,2
192,0,179,888,367,931,2
100,0,250,889,308,933,2
107,0,252,891,317,934,2
132,0,255,894,229,936,2
132,0,253,894,316,937,2
161,0,267,895,302,937,2
256,0,32,901,473,936,2
175,0,246,898,307,938,2
216,0,244,896,320,938,2
217,0,34,896,486,939,2
175,0,230,894,380,940,2
204,0,280,885,348,940,2
255,0,27,886,526,940,2
178,0,30,887,516,941,2
271,0,31,892,552,942,2
247,0,30,890,444,942,2
251,0,300,894,413,943,2
196,0,293,894,373,943,2
116,0,300,896,319,943,2
149,0,309,897,295,943,2
0,100,731,662,41,719,2
0,0,740,685,104,720,2
0,0,174,0,0,652,2
0,0,24,0,0,62,2
404,0,162,864,698,859,2
0,0,22,0,0,23,2
0,0,23,0,0,84,2
922,0,0,501,388,770,2
614,0,0,741,358,911,2
856,0,90,636,27,914,2
483,0,274,839,392,896,2
834,1,0,681,345,850,2
0,813,0,851,644,728,2
587,609,224,700,272,802,2
735,602,313,669,95,815,2
728,610,299,695,41,826,2
739,614,301,739,43,821,2
644,669,306,675,82,813,2
581,720,304,694,381,794,2
598,754,347,719,261,815,2
677,731,330,664,189,782,2
647,736,330,602,187,763,2
673,694,225,704,478,805,2
476,642,226,864,171,819,2
473,653,233,874,214,842,2
422,674,221,889,260,848,2
328,680,224,876,271,838,2
260,701,225,875,296,847,2
247,708,224,777,244,839,2
280,747,220,837,327,842,2
127,665,301,814,196,841,2
224,709,301,850,223,845,2
147,701,304,856,211,841,2
177,740,394,879,275,853,2
156,738,327,884,122,829,2
79,754,405,893,121,841,2
20,760,417,898,89,840,2
372,607,125,892,289,838,2
395,681,272,895,295,842,2
376,725,330,901,337,852,2
360,722,289,901,333,849,2
475,727,429,892,106,843,2
904,577,408,866,117,862,2
852,560,396,878,189,852,2
841,499,402,884,206,849,2
849,528,394,887,272,857,2
0,0,0,787,0,802,2
0,0,0,630,0,833,2
0,0,139,634,322,761,2
32,450,261,820,63,822,3
0,0,0,769,0,756,3
0,534,0,811,0,845,3
0,509,0,801,39,836,3
0,580,0,784,0,854,3
30,496,0,789,44,847,3
51,550,0,761,45,851,3
0,593,0,751,57,854,3
0,528,0,775,0,806,3
0,521,2,798,229,785,3
0,500,32,794,260,797,3
0,501,34,789,141,794,3
0,621,0,836,80,730,3
0,497,0,826,260,679,3
0,542,29,867,495,750,3
0,256,107,842,238,807,3
0,257,38,827,283,820,3
0,487,0,847,259,754,3
0,498,87,834,358,751,3
0,493,253,814,382,778,3
0,323,55,829,478,0,3
0,316,125,836,493,0,3
0,326,87,837,520,0,3
0,364,178,838,464,0,3
0,465,119,840,452,0,3
0,416,188,841,355,0,3
0,316,190,841,397,0,3
0,330,189,841,251,0,3
0,457,0,847,191,0,3
0,357,233,832,85,218,3
0,206,256,829,238,269,3
0,223,259,832,197,249,3
0,107,188,881,112,530,3
0,146,240,867,145,459,3
0,458,0,831,87,341,3
0,556,105,846,189,337,3
0,211,269,815,222,414,3
0,200,306,829,180,379,3
0,256,241,831,135,351,3
0,231,309,836,129,346,3
0,303,258,837,129,393,3
0,430,59,835,172,426,3
0,407,162,821,209,360,3
0,404,236,821,260,366,3
0,339,176,844,295,400,3
0,368,263,845,139,405,3
0,451,267,847,97,426,3
0,436,252,788,268,397,3
0,437,156,812,156,295,3
0,420,165,817,220,418,3
0,416,167,819,210,439,3
0,365,227,815,103,452,3
0,218,278,811,124,555,3
0,297,168,580,80,697,3
0,473,201,681,116,734,3
0,448,109,690,79,690,3
0,425,107,662,108,725,3
0,357,208,673,92,737,3
0,339,165,666,103,739,3
0,398,141,672,93,741,3
0,416,160,656,91,739,3
0,181,257,657,121,736,3
0,373,245,678,107,732,3
0,423,262,673,110,735,3
0,407,269,673,96,740,3
0,406,272,688,94,739,3
0,380,251,677,94,736,3
0,307,153,686,297,723,3
0,392,235,688,216,732,3
0,424,117,676,272,737,3
0,342,205,756,97,862,3
0,299,96,753,318,801,3
0,274,132,758,202,814,3
0,354,133,748,98,799,3
0,375,196,767,79,817,3
0,593,79,778,79,797,3
0,400,132,777,96,803,3
0,371,138,777,121,817,3
0,460,0,817,126,788,3
0,472,1,805,429,798,3
0,332,275,774,94,825,3
0,429,300,785,117,798,3
0,427,301,775,144,798,3
0,503,251,769,92,758,3
0,438,252,767,156,770,3
0,435,295,760,139,764,3
0,576,117,788,120,784,3
0,534,171,799,98,777,3
0,606,183,779,118,762,3
0,501,180,761,147,749,3
0,537,252,773,145,772,3
0,500,288,745,152,777,3
0,521,226,708,152,817,3
0,518,241,742,128,793,3
0,521,248,730,171,800,3
0,406,271,732,137,809,3
0,540,231,756,98,779,3
0,614,226,753,109,803,3
0,618,229,753,117,800,3
0,597,202,757,119,799,3
0,610,227,757,140,802,3
0,474,249,750,138,806,3
0,548,254,743,133,807,3
0,619,236,744,141,806,3
0,599,209,748,159,802,3
0,643,205,757,157,784,3
0,635,197,754,281,791,3
0,633,2,765,217,804,3
0,660,41,762,196,800,3
0,483,1,769,156,781,3
0,547,126,769,78,776,3
0,611,204,758,100,791,3
0,586,105,766,275,795,3
292,0,363,155,0,943,3
325,49,0,650,382,874,3
3,0,0,673,62,889,3
125,0,331,153,0,890,3
297,0,313,156,0,899,3
87,0,269,154,39,898,3
0,0,174,201,0,887,3
0,1,229,202,0,882,3
8,0,402,155,0,869,3
4,0,489,181,0,873,3
4,0,466,181,0,878,3
0,0,358,174,0,876,3
0,0,0,184,0,886,3
0,0,0,204,0,902,3
1,651,174,628,224,657,3
0,699,432,679,0,696,3
0,698,291,660,0,733,3
0,1023,0,480,0,781,3
0,1023,0,582,0,794,3
0,1023,0,567,0,795,3
0,1023,0,624,0,796,3
0,1023,0,589,0,795,3
0,1023,0,623,0,797,3
0,1023,0,615,0,800,3
0,1023,0,629,0,801,3
0,1023,1,629,0,801,3
0,1023,1,623,0,797,3
0,1023,0,625,0,801,3
0,1023,0,638,0,804,3
0,1023,1,641,0,808,3
0,1023,1,641,0,811,3
0,1023,1,637,0,811,3
0,1023,1,637,0,813,3
0,1023,1,630,0,814,3
0,1023,1,635,0,813,3
0,1023,1,627,0,813,3
0,1023,1,631,0,814,3
0,1023,1,619,0,811,3
0,1023,1,629,0,810,3
0,1023,1,622,0,813,3
0,1023,1,628,0,817,3
0,1023,2,619,0,817,3
0,1023,3,620,0,821,3
0,1023,4,611,0,822,3
0,1023,3,613,0,823,3
0,720,0,847,0,846,3
0,714,1,608,0,823,3
0,211,0,707,0,850,3
0,0,0,818,591,892,3
0,35,0,832,647,894,3
0,267,0,857,577,893,3
0,220,0,864,699,898,3
0,303,0,866,705,897,3
0,281,0,868,659,905,3
0,280,0,856,651,883,3
0,368,0,867,629,880,3
0,303,0,870,667,881,3
0,309,0,865,643,879,3
0,357,0,866,675,881,3
0,335,0,875,683,882,3
0,313,0,876,692,882,3
0,345,0,877,687,882,3
0,376,0,877,693,880,3
0,380,0,878,687,882,3
0,372,0,879,683,883,3
0,379,0,879,672,884,3
0,345,0,880,658,881,3
0,320,0,885,686,881,3
0,310,0,888,725,884,3
0,280,0,887,703,889,3
0,266,0,886,730,870,3
0,259,0,887,732,879,3
0,260,0,886,741,880,3
0,284,0,882,683,882,3
0,317,0,883,682,885,3
0,337,0,885,678,884,3
0,342,0,886,691,884,3
0,367,0,886,669,885,3
0,358,0,889,626,885,3
0,373,0,889,638,888,3
0,372,0,891,668,887,3
2,372,0,890,675,887,3
0,389,0,890,654,885,3
0,502,1,805,451,884,3
0,436,0,863,486,894,3
0,639,0,886,454,800,3
0,617,0,879,560,819,3
0,631,1,877,590,831,3
0,618,1,890,621,835,3
0,619,2,883,613,835,3
0,640,1,888,527,842,3
0,610,1,890,573,845,3
0,618,1,864,607,846,3
0,625,1,880,619,846,3
0,624,2,883,619,843,3
0,624,1,881,627,844,3
0,617,1,885,638,844,3
0,621,3,874,571,837,3
0,612,3,876,647,835,3
0,616,3,885,664,842,3
